Date	Description	Original Description	Amount	Transaction Type	Category	Account Name	Labels	Notes
3/23/14	Hummus Pita	POS DEBIT HUMMUS & PITA COMPANY NEW YORK NY	6.48	debit	Restaurants	TOTAL CHECKING		
3/23/14	Basics Plus	POS DEBIT BASICS PLUS NEW YORK NY	10.88	debit	Home Supplies	TOTAL CHECKING		
3/23/14	Spin New York	POS DEBIT SPIN NEW YORK NEW YORK NY	21.07	debit	Alcohol & Bars	TOTAL CHECKING		
3/23/14	Glaze Teriyaki Grill 139 4th Avenue	POS DEBIT Glaze Teriyaki Grill 139 4th Ave NY	11.43	debit	Restaurants	TOTAL CHECKING		
3/21/14	Ennju	ENNJU NEW YORK NY03/19	9.8	debit	Restaurants	TOTAL CHECKING		
3/21/14	Citi Prepaid Citi	CITI PREPAID     CITI ACHPPD ID: 4522029986	50.77	credit	Income	TOTAL CHECKING		
3/20/14	Associated Supermarket	ASSOCIATED SUPERMARKET BROOKLYNNY   883959  03/20	32.44	debit	Groceries	TOTAL CHECKING		
3/19/14	Starbucks	STARBUCKS #07540 NEW YO New YorkNY          03/18	3.76	debit	Coffee Shops	TOTAL CHECKING		
3/19/14	Spice Tong Hospitali	SPICE - TONG HOSPITALI NEW YORKNY           03/18	12	debit	Restaurants	TOTAL CHECKING		
3/19/14	Three Brothers	THREE BROTHERS BROOKLYN NY03/19	13.05	debit	Restaurants	TOTAL CHECKING		
3/19/14	Utrecht Art	UTRECHT ART 8004471892 NEW YORKNY           03/19	22.3	debit	School Supplies	TOTAL CHECKING		
3/18/14	Cargo Collective Ca	CARGO COLLECTIVE 213-290-0705 CA03/17	9	debit	Website Hosting	TOTAL CHECKING		
3/18/14	Trader Joe's	TRADER JOE'S # 540 NEW YORK NY308348  03/18	19.99	debit	Groceries	TOTAL CHECKING		
3/18/14	Dominique Ansel Bakery	DOMINIQUE ANSEL BAKERY NEW YORKNY           03/16	9.53	debit	Coffee Shops	TOTAL CHECKING		
3/17/14	Fame Wine Liquors	FAME WINE & LIQUORS BROOKLYN NY03/15	10.88	debit	Alcohol & Bars	TOTAL CHECKING		
3/17/14	Apple	APPLE STORE  #R032 NEW YORK NY03/16	706.6	debit	Electronics & Software	TOTAL CHECKING		
3/17/14	Adams Books	ADAMS BOOKS BROOKLYN NY03/16	25.04	debit	Books	TOTAL CHECKING		
3/17/14	Duane Reade	Duane Reade 52 E 14TH NEW YORK NY    546810  03/17	27.97	debit	Pharmacy	TOTAL CHECKING		
3/17/14	Utrecht Art	UTRECHT ART 8004471892 NEW YORKNY           03/17	16.63	debit	School Supplies	TOTAL CHECKING		
3/17/14	Starbucks	STARBUCKS #15440 NEW YO New YorkNY          03/14	7.84	debit	Coffee Shops	TOTAL CHECKING		
3/17/14	Envato Mkpl Au	PAYPAL *ENVATO MKPL AU 4029357733            03/14	19	debit	Restaurants	TOTAL CHECKING		
3/17/14	Bob Betty	BOB & BETTY'S BROOKLYN NY03/14	17.25	debit	Groceries	TOTAL CHECKING		
3/17/14	Franklin Park	FRANKLIN PARK BROOKLYN NY03/14	33.13	debit	Restaurants	TOTAL CHECKING		
3/17/14	Edward	EDWARD'S NEW YORK NY03/15	23	debit	Restaurants	TOTAL CHECKING		
3/17/14	Starbucks	STARBUCKS #07560 NEW YO New YorkNY          03/15	14.05	debit	Coffee Shops	TOTAL CHECKING		
3/17/14	Sunac Food Market	SUNAC FOOD MARKET BROOKLYN NY03/15	10.17	debit	Groceries	TOTAL CHECKING		
3/17/14	Frog Crown Baker	THE FROG'S CROWN BAKER NEW YORKNY           03/15	13.83	debit	Restaurants	TOTAL CHECKING		
3/17/14	Cafe	CAFE 55       21117262 NEW YORKNY           03/14	7.06	debit	Coffee Shops	TOTAL CHECKING		
3/17/14	Apple	APPLE STORE  #R032 NEW YORK NY03/16	706.6	credit	Electronics & Software	TOTAL CHECKING		
3/14/14	"Toys ""R"" Us"	TOYS R US NEW YORK NY704047  03/14	16.32	debit	Toys	TOTAL CHECKING		
3/14/14	17th Street Soups	17TH STREET SOUPS NEW YORK NY03/13	8.37	debit	Restaurants	TOTAL CHECKING		
3/14/14	ATM Withdrawal 1469 5th Avenue	ATM WITHDRAWAL003463  03/1469 5TH AV	80	debit	Cash & ATM	TOTAL CHECKING		
3/14/14	Ennju	ENNJU NEW YORK NY03/12	9.8	debit	Restaurants	TOTAL CHECKING		
3/13/14	Meatball Shop	THE MEATBALL SHOP BROOKLYN NY03/11	53.73	debit	Restaurants	TOTAL CHECKING		
3/13/14	Subway	SUBWAY        03314234 NEW YORKNY           03/12	5.99	debit	Restaurants	TOTAL CHECKING		
3/13/14	Eataly Supermarket	EATALY SUPERMARKET NEW YORK NY03/12	34.15	debit	Groceries	TOTAL CHECKING		
3/13/14	CVS	CVS 02717 02717--1294 New York NY    704861  03/13	3.19	debit	Pharmacy	TOTAL CHECKING		
3/13/14	H&M	H&M NEW YORK NY526251  03/13	7.95	debit	Clothing	TOTAL CHECKING		
3/13/14	Check 1002	CHECK 1002	1285	debit	Mortgage & Rent	TOTAL CHECKING		
3/12/14	National Grid	NATIONAL GRID NY UTILITYPAY 00276748333     WEB ID: 9177976002	21.34	debit	Electricity	TOTAL CHECKING		
3/11/14	Incoming Foreign Wire	INCOMING FOREIGN WIRE FEE	15	debit	Fees & Charges	TOTAL CHECKING		
3/11/14	Anthropologie	ANTHROPOLOGIE #0405 NEW YORK NY03/10	39.04	debit	Home Supplies	TOTAL CHECKING		
3/11/14	Online Transfer Dudu	Online Transfer 3799845196 to Dudu ######6531 transaction #: 379	281.82	debit	Mobile Phone	TOTAL CHECKING		
3/11/14	G Miami Food	G-MIAMI FOOD AIRPORT MIAMI FL03/10	3.99	debit	Food & Dining	TOTAL CHECKING		
3/11/14	Mnn Gilbert Cafe	MNN/GILBERT CAFE#2401 MIAMI FL03/10	8.55	debit	Coffee Shops	TOTAL CHECKING		
3/11/14	Deco Bike Fl	DECO BIKE 305-416-7445 FL03/10	10.7	debit	Rental Bike	TOTAL CHECKING		
3/11/14	Book Transfer B	BOOK TRANSFER CREDIT B/O: BANCODO BRASIL SA RIODEJANEIRO2003120	3000	credit	Hide from Budgets & Trends	TOTAL CHECKING		
3/10/14	Gourmet Garage Broom	GOURMET GARAGE - BROOM NEW YORKNY   892371  03/10	11.42	debit	Restaurants	TOTAL CHECKING		
3/10/14	Consolidated Edison	CON ED OF NY     INTELL CKPPD ID: 0135009340	39.07	debit	Gas	TOTAL CHECKING		
3/10/14	Incoming Foreign Wire	INCOMING FOREIGN WIRE FEE	15	debit	Fees & Charges	TOTAL CHECKING		
3/10/14	Berimbau Llc	BERIMBAU LLC NEW YORK NY03/07	24.28	debit	Restaurants	TOTAL CHECKING		
3/10/14	Starbucks	STARBUCKS #07560 NEW YO New YorkNY          03/08	7.84	debit	Coffee Shops	TOTAL CHECKING		
3/10/14	Nish Nush	NISH NUSH NEW YORK NY03/08	8.71	debit	Restaurants	TOTAL CHECKING		
3/10/14	Century 21	CENTURY TWENTY ONE NEW YORK NY537966  03/08	25.01	debit	Clothing	TOTAL CHECKING		
3/10/14	Book Transfer B	BOOK TRANSFER CREDIT B/O: BANCODO BRASIL SA RIODEJANEIRO2003120	3000	credit	Hide from Budgets & Trends	TOTAL CHECKING		
3/10/14	Coppelia	COPPELIA NEW YORK NY03/07	11.47	debit	Restaurants	TOTAL CHECKING		
3/10/14	Strand Books	STRAND BOOK STORE NEW YORK NY03/06	34.3	debit	Books	TOTAL CHECKING		
3/7/14	Ennju	ENNJU NEW YORK NY03/05	10	debit	Restaurants	TOTAL CHECKING		
3/7/14	Cablevision	CABLEVISION #7836 718-617-3500 NY            03/06	49.95	debit	Internet	TOTAL CHECKING		
3/7/14	17th Street Soups	17TH STREET SOUPS NEW YORK NY03/06	6.96	debit	Restaurants	TOTAL CHECKING		
3/7/14	USPS	USPS 3596060006/93 4TH NEW YORKNY   140766  03/07	3.45	debit	Shipping	TOTAL CHECKING		
3/7/14	MTA	MTA VENDING MACHINES NEW YORK NY343939  03/07	112	debit	Public Transportation	TOTAL CHECKING		
3/7/14	Associated Supermarket	ASSOCIATED SUPERMARKET BROOKLYNNY   347951  03/07	15.59	debit	Groceries	TOTAL CHECKING		
